Sample ID,Cell ID,Source ID,Score,tsne-x,tsne-y,Selected,Cluster indicators
discrete,string,discrete,continuous,continuous,continuous,discrete,"AXLSIGLEC6,\ No AXLSIGLEC6,\ Yes BPDCN1,\ No BPDCN1,\ Yes BPDCN2,\ No BPDCN2,\ Yes BPDCN3,\ No BPDCN3,\ Yes BPDCN4,\ No BPDCN4,\ Yes C100C34int,\ No C100C34int,\ Yes CD123NEG,\ No CD123NEG,\ Yes CD141,\ No CD141,\ Yes CD1C,\ No CD1C,\ Yes DoubleNeg,\ No DoubleNeg,\ Yes Mono,\ No Mono,\ Yes pDC,\ No pDC,\ Yes"
class,meta,meta,meta,meta,meta,meta,meta
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S17,Validation,2.2912330767775044,3.6865921020507812,-19.10791015625,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S31,Validation,1.3853979466866986,1.2053712606430054,-19.225732803344727,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S32,Validation,2.045797059786808,2.9264981746673584,-18.53472137451172,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S37,Validation,2.0920229509703447,3.872209072113037,-19.065608978271484,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S38,Validation,1.9136635802284245,3.2190287113189697,-19.221223831176758,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S43,Validation,2.22684674307641,1.2944250106811523,-19.03947639465332,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S45,Validation,2.1376357641495285,3.205350875854492,-19.162927627563477,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S46,Validation,1.6894506572661456,3.330045461654663,-17.797330856323242,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S6,Validation,1.8378870946117964,3.2778851985931396,-18.06528091430664,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S8,Validation,2.7789520490120867,2.803624153137207,-18.077131271362305,Yes,"AXLSIGLEC6, Yes"
CD123NEG,CD123NEG_D0_S106_S245,Validation,1.7532117564152232,7.784591197967529,-17.004764556884766,Yes,"CD123NEG, Yes"
CD123NEG,CD123NEG_D0_S94_S293,Validation,2.795060615471811,7.84977388381958,-17.164493560791016,Yes,"CD123NEG, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S3_S7,Validation,2.5958314648995153,-9.38084602355957,-19.69615364074707,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S5_S9,Validation,2.870523619986729,-10.022309303283691,-15.933320999145508,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S6_S10,Validation,2.420982521371389,-11.231741905212402,-14.970549583435059,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S7_S11,Validation,2.4527264008809113,-12.174320220947266,-20.53843879699707,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S8_S12,Validation,2.6641343109170164,-12.774521827697754,-17.492822647094727,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S3_S19,Validation,2.9380797232263616,-9.343442916870117,-20.225711822509766,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S4_S20,Validation,2.8628422945697722,-11.646308898925781,-17.133525848388672,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S6_S22,Validation,1.949761577673842,-13.7074613571167,-16.384309768676758,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S8_S24,Validation,2.7078507389071973,-10.97895622253418,-18.974294662475586,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S3_S31,Validation,2.438402567612429,-7.878396034240723,-16.788461685180664,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S4_S32,Validation,2.585381566880702,-11.564977645874023,-17.393117904663086,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S5_S33,Validation,2.4918903569158917,-13.646912574768066,-16.33229637145996,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S6_S34,Validation,2.8171471145856546,-11.487377166748047,-16.41469383239746,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S7_S35,Validation,2.7612989701713313,-10.933751106262207,-17.111433029174805,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S8_S36,Validation,2.6527986007869617,-9.689979553222656,-19.32447052001953,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin4_S1_S41,Validation,2.9164233763118705,-11.190866470336914,-15.096146583557129,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin4_S2_S42,Validation,2.692679663477481,-10.21074104309082,-15.007190704345703,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin4_S3_S43,Validation,2.4376109080271915,-10.563560485839844,-16.222368240356445,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin4_S4_S44,Validation,2.738751124041318,-11.45997142791748,-15.629734992980957,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin4_S5_S45,Validation,2.79935610878729,-11.273050308227539,-15.931391716003418,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin4_S6_S46,Validation,2.789048425276908,-11.167559623718262,-14.361451148986816,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S1_S53,Validation,2.74138644055681,-8.881376266479492,-16.044883728027344,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S2_S54,Validation,2.6266781339729137,-11.154135704040527,-16.60011863708496,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S3_S55,Validation,2.3342481754837388,-10.001100540161133,-18.355947494506836,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S4_S56,Validation,2.20099821516125,-6.157417297363281,-14.144384384155273,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S5_S57,Validation,2.411581655054884,-6.346715927124023,-14.14132308959961,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S6_S58,Validation,2.0853936282311554,-6.703587532043457,-15.83055591583252,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin5_S8_S60,Validation,2.640482652997852,-9.790153503417969,-14.758756637573242,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin6_S1_S65,Validation,1.4026155226576076,-5.755716800689697,-14.050169944763184,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin6_S2_S66,Validation,2.9372803482013854,-9.030525207519531,-16.12320327758789,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin6_S3_S67,Validation,2.388355886675245,-6.035223960876465,-14.710010528564453,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin6_S6_S70,Validation,1.622390284147603,-3.0420141220092773,-12.262351036071777,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin6_S7_S71,Validation,2.420915709621017,-6.103090763092041,-15.119796752929688,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin7_S1_S77,Validation,2.023827236623743,-8.773327827453613,-15.460735321044922,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S11_S3,Validation,2.2848460011133405,-13.053868293762207,-16.453670501708984,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S12_S4,Validation,2.281631163695029,-8.113372802734375,-14.616286277770996,Yes,"AXLSIGLEC6, Yes"
